2023-03-11 15:43:13 | INFO | bot.py:31 | Starting bot
2023-03-11 15:43:13 | INFO | __init__.py:2138 | Target [ID:983413077]: success
2023-03-11 15:43:13 | INFO | __init__.py:2138 | 1 messages successful sent.
2023-03-11 15:43:13 | INFO | dispatcher.py:436 | Start polling
2023-03-11 15:43:13 | INFO | dispatcher.py:441 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 15:43:14 | INFO | dispatcher.py:156 | Update id=859848113 is handled. Duration 250 ms by bot id=1861694539
2023-03-11 15:43:21 | INFO | dispatcher.py:456 | Polling stopped
2023-03-11 15:43:21 | ERROR | bot.py:67 | Bot stop!
2023-03-11 12:43:51 | INFO | bot.py:31 | Starting bot
2023-03-11 12:43:52 | INFO | __init__.py:2097 | Target [ID:983413077]: success
2023-03-11 12:43:52 | INFO | __init__.py:2097 | 1 messages successful sent.
2023-03-11 12:43:52 | INFO | dispatcher.py:493 | Start polling
2023-03-11 12:43:52 | INFO | dispatcher.py:329 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 12:44:00 | INFO | dispatcher.py:160 | Update id=859848114 is handled. Duration 403 ms by bot id=1861694539
2023-03-11 12:44:50 | WARNING | dispatcher.py:439 | Received SIGINT signal
2023-03-11 12:44:50 | INFO | dispatcher.py:345 | Polling stopped for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 12:44:50 | INFO | dispatcher.py:520 | Polling stopped
2023-03-11 13:58:49 | INFO | bot.py:31 | Starting bot
2023-03-11 13:58:49 | INFO | __init__.py:2097 | Target [ID:983413077]: success
2023-03-11 13:58:49 | INFO | __init__.py:2097 | 1 messages successful sent.
2023-03-11 13:58:49 | INFO | dispatcher.py:493 | Start polling
2023-03-11 13:58:49 | INFO | dispatcher.py:329 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 13:58:54 | ERROR | dispatcher.py:208 | Failed to fetch updates - TelegramConflictError: Telegram server says Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2023-03-11 13:58:54 | WARNING | dispatcher.py:210 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 1861694539)
2023-03-11 13:58:57 | WARNING | dispatcher.py:439 | Received SIGINT signal
2023-03-11 13:58:57 | INFO | dispatcher.py:345 | Polling stopped for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 13:58:57 | INFO | dispatcher.py:520 | Polling stopped
2023-03-11 13:59:15 | INFO | bot.py:31 | Starting bot
2023-03-11 13:59:15 | INFO | __init__.py:2097 | Target [ID:983413077]: success
2023-03-11 13:59:16 | INFO | __init__.py:2097 | 1 messages successful sent.
2023-03-11 13:59:16 | INFO | dispatcher.py:493 | Start polling
2023-03-11 13:59:16 | INFO | dispatcher.py:329 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 13:59:20 | ERROR | dispatcher.py:208 | Failed to fetch updates - TelegramConflictError: Telegram server says Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2023-03-11 13:59:20 | WARNING | dispatcher.py:210 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 1861694539)
2023-03-11 13:59:25 | WARNING | dispatcher.py:439 | Received SIGINT signal
2023-03-11 13:59:25 | INFO | dispatcher.py:345 | Polling stopped for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 13:59:25 | INFO | dispatcher.py:520 | Polling stopped
2023-03-11 14:03:06 | INFO | bot.py:31 | Starting bot
2023-03-11 14:03:07 | INFO | __init__.py:2097 | Target [ID:983413077]: success
2023-03-11 14:03:07 | INFO | __init__.py:2097 | 1 messages successful sent.
2023-03-11 14:03:07 | INFO | dispatcher.py:493 | Start polling
2023-03-11 14:03:07 | INFO | dispatcher.py:329 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 14:04:15 | WARNING | dispatcher.py:439 | Received SIGINT signal
2023-03-11 14:04:15 | INFO | dispatcher.py:345 | Polling stopped for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 14:04:15 | INFO | dispatcher.py:520 | Polling stopped
2023-03-11 14:04:24 | INFO | bot.py:31 | Starting bot
2023-03-11 14:04:24 | INFO | __init__.py:2097 | Target [ID:983413077]: success
2023-03-11 14:04:24 | INFO | __init__.py:2097 | 1 messages successful sent.
2023-03-11 14:04:24 | INFO | dispatcher.py:493 | Start polling
2023-03-11 14:04:24 | INFO | dispatcher.py:329 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 14:04:37 | WARNING | dispatcher.py:439 | Received SIGINT signal
2023-03-11 14:04:37 | INFO | dispatcher.py:345 | Polling stopped for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 14:04:37 | INFO | dispatcher.py:520 | Polling stopped
2023-03-11 14:07:53 | INFO | bot.py:31 | Starting bot
2023-03-11 14:07:53 | INFO | __init__.py:2097 | Target [ID:983413077]: success
2023-03-11 14:07:53 | INFO | __init__.py:2097 | 1 messages successful sent.
2023-03-11 14:07:53 | INFO | dispatcher.py:493 | Start polling
2023-03-11 14:07:53 | INFO | dispatcher.py:329 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 14:08:25 | WARNING | dispatcher.py:439 | Received SIGINT signal
2023-03-11 14:08:25 | INFO | dispatcher.py:345 | Polling stopped for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 14:08:25 | INFO | dispatcher.py:520 | Polling stopped
2023-03-11 14:09:19 | INFO | bot.py:31 | Starting bot
2023-03-11 14:09:19 | INFO | __init__.py:2097 | Target [ID:983413077]: success
2023-03-11 14:09:19 | INFO | __init__.py:2097 | 1 messages successful sent.
2023-03-11 14:09:19 | INFO | dispatcher.py:493 | Start polling
2023-03-11 14:09:19 | INFO | dispatcher.py:329 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 14:09:41 | WARNING | dispatcher.py:439 | Received SIGINT signal
2023-03-11 14:09:41 | INFO | dispatcher.py:345 | Polling stopped for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 14:09:41 | INFO | dispatcher.py:520 | Polling stopped
2023-03-11 20:49:42 | INFO | bot.py:31 | Starting bot
2023-03-11 20:50:07 | INFO | bot.py:31 | Starting bot
2023-03-11 20:50:30 | INFO | bot.py:31 | Starting bot
2023-03-11 20:50:30 | INFO | __init__.py:2138 | Target [ID:983413077]: success
2023-03-11 20:50:30 | INFO | __init__.py:2138 | 1 messages successful sent.
2023-03-11 20:50:30 | INFO | dispatcher.py:436 | Start polling
2023-03-11 20:50:30 | INFO | dispatcher.py:441 | Run polling for bot @Prototype_test322_bot id=1861694539 - 'PrototypeOne'
2023-03-11 23:30:49 | ERROR | dispatcher.py:204 | Failed to fetch updates - TelegramConflictError: Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2023-03-11 23:30:50 | WARNING | dispatcher.py:206 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 1861694539)
2023-03-11 23:30:55 | ERROR | dispatcher.py:204 | Failed to fetch updates - TelegramConflictError: Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2023-03-11 23:30:55 | WARNING | dispatcher.py:206 | Sleep for 1.373422 seconds and try again... (tryings = 1, bot id = 1861694539)
2023-03-11 23:31:01 | ERROR | dispatcher.py:204 | Failed to fetch updates - TelegramConflictError: Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2023-03-11 23:31:01 | WARNING | dispatcher.py:206 | Sleep for 1.792008 seconds and try again... (tryings = 2, bot id = 1861694539)
2023-03-11 23:31:07 | ERROR | dispatcher.py:204 | Failed to fetch updates - TelegramConflictError: Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2023-03-11 23:31:07 | WARNING | dispatcher.py:206 | Sleep for 2.419391 seconds and try again... (tryings = 3, bot id = 1861694539)
2023-03-11 23:31:08 | INFO | dispatcher.py:456 | Polling stopped
2023-03-11 23:31:08 | ERROR | bot.py:67 | Bot stop!
